Numero_da_Peca,Teste_borda,Diametro,Status_Diam,Relacao_A/B,Status_A/B,Superfície
1,OK,49.59278900146484,OK,0.9942065589418609,OK,OK
2,OK,49.7592739868164,OK,0.9922130756354154,OK,OK
3,NOK,---,---,---,---,---
4,OK,45.76524719238281,NOK,---,---,---
5,NOK,---,---,---,---,---
6,OK,49.701211242675775,OK,0.9925459313719025,OK,OK
7,OK,49.31168884277343,NOK,---,---,---
8,NOK,---,---,---,---,---
9,OK,49.84569732666015,OK,0.997392306933084,OK,OK
10,OK,48.125435791015626,NOK,---,---,---
11,NOK,---,---,---,---,---
12,OK,48.641047058105464,NOK,---,---,---
13,OK,49.08674377441405,NOK,---,---,---
14,OK,48.58444122314452,NOK,---,---,---
15,OK,49.79715148925781,OK,0.9991401661282057,OK,OK
16,OK,49.48314270019531,NOK,---,---,---
17,NOK,---,---,---,---,---
18,OK,48.8443862915039,NOK,---,---,---
19,OK,49.5009033203125,OK,0.9822984745028894,OK,NOK
20,OK,49.50637847900391,OK,0.9884779762053387,OK,OK
